Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,thelibrarynj.com,wowdispensary.com,thelibrarynj.com (pages),wowdispensary.com (pages),Results
dispo near me,Transactional,14800,69,0.00,0.00,0,56,,https://wowdispensary.com/,162000000
dispensary nj,Commercial,4400,66,1.76,0.07,0,56,,https://wowdispensary.com/,4250000
west orange public library,Navigational,2900,29,0.00,0.03,81,0,https://thelibrarynj.com/,,10
nj dispensaries,Commercial,1600,63,1.51,0.06,0,74,,https://wowdispensary.com/,1950000
wellness dispensary,Commercial,1300,54,0.00,0.00,0,4,,https://wowdispensary.com/,10600000
westorange,Navigational,1000,70,0.46,0.09,0,86,,https://wowdispensary.com/,3050000000
herbal wellness west,Navigational,720,19,0.00,0.00,0,75,,https://wowdispensary.com/,19800000
montclair dispensary,Commercial,590,31,3.39,0.04,0,37,,https://wowdispensary.com/,255000
san juan dispensary saturday hours of operation,Commercial,590,20,0.00,0.00,0,57,,https://wowdispensary.com/,2400000
dispensary montclair nj,Commercial,480,49,3.39,0.04,0,21,,https://wowdispensary.com/,187000
health and wellness dispensary,Commercial,480,54,0.00,0.00,0,28,,https://wowdispensary.com/,9730000
shady lady strain,Informational,480,1,0.00,0.00,0,20,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=kind-tree-concentrate-1g-live-resin-shady-lady-badder,73
west orange wellness,"Commercial, Navigational",390,35,2.52,0.00,0,1,,https://wowdispensary.com/,232000000
cheapest dispensary in nj,Commercial,320,60,1.51,0.27,0,75,,https://wowdispensary.com/,383000
kiwi berry strain,Informational,320,0,0.00,0.00,0,16,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=kiwi-berry-1g-cart,1360000
nano bites,Commercial,320,0,1.38,0.01,0,4,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=blueberry-nano-bites-10pk-100mg,4990000
orange dispensary,Commercial,260,28,0.00,0.00,0,11,,https://wowdispensary.com/,18300000
wild west wellness,Informational,260,23,0.00,0.02,0,42,,https://wowdispensary.com/,81600000
new jersey west orange,"Commercial, Informational",210,45,0.57,0.07,0,78,,https://wowdispensary.com/,588000000
orange wellness,"Commercial, Navigational",210,33,5.00,0.07,0,4,,https://wowdispensary.com/,1200000000
ozone edibles,"Commercial, Informational",210,2,0.00,0.00,0,6,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=ozone-edibles-soft-chews-10pk-100mg-assorted-berry,81
snoozzzierberry,"Commercial, Informational",210,4,1.95,0.11,0,3,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=snoozzzierberry-2-1-1-100mg-thc-50mg-cbn-50mg-cbg,43
the grape ape menu,Informational,210,21,0.00,0.00,0,15,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=grape-ape-1g-disposable,1510000
valley wellness dispensary,Navigational,210,28,0.00,0.00,0,3,,https://wowdispensary.com/,1520000
wana optimals fast asleep,"Commercial, Informational",210,8,1.96,0.73,0,16,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=optimals-fast-asleep-chews-10-pack-20mg-74599,86
west orange jobs,Commercial,210,9,0.24,0.09,0,30,,https://wowdispensary.com/careers,887000000
west orange nj employment,Commercial,210,14,0.24,0.09,0,37,,https://wowdispensary.com/careers,18200000
western dispensary,"Commercial, Navigational",210,56,0.00,0.00,0,9,,https://wowdispensary.com/,20800000
bits acai affection,Commercial,170,0,0.00,0.01,0,48,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=acai-affection-41433,70
bits elderberry wellness,"Commercial, Informational",170,0,2.36,0.15,0,3,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=elderberry-wellness-bits-1-1-cbd-thc-20pk-100mg,77
dispensary montclair,Commercial,170,25,2.65,0.03,0,37,,https://wowdispensary.com/,84
incredibles snoozzzierberry,"Informational, Transactional",170,19,0.00,0.00,0,24,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=snoozzzierberry-2-1-1-100mg-thc-50mg-cbn-50mg-cbg,15500
raritan valley wellness,Navigational,170,25,0.00,0.00,0,55,,https://wowdispensary.com/,69
valley dispensary,Commercial,170,55,0.00,0.00,0,59,,https://wowdispensary.com/,7330000
barbwire dispensary,"Commercial, Informational",140,10,0.00,0.00,0,43,,https://wowdispensary.com/,84
dispensary west orange nj,Commercial,140,2,0.00,0.00,0,1,,https://wowdispensary.com/,82
flavors wellness east orange,"Informational, Transactional",140,19,0.00,0.10,0,11,,https://wowdispensary.com/,55
valley fresh west orange,Navigational,140,31,0.00,0.00,0,74,,https://wowdispensary.com/,112000000
valley fresh west orange nj,"Informational, Navigational",140,23,0.00,0.00,0,51,,https://wowdispensary.com/,22400000
valley wellness nj,Navigational,140,23,0.00,0.01,0,6,,https://wowdispensary.com/,42900000
wana strawberry margarita,"Commercial, Informational",140,10,0.00,0.01,0,53,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=quick-strawberry-margarita-1-1-cbd-thc-10pk-100mg,87
wellness center dispensary,Commercial,140,48,0.00,0.00,0,5,,https://wowdispensary.com/,5500000
west orange public library hours,Navigational,140,21,0.00,0.00,58,0,https://thelibrarynj.com/,,58
1gram cart,Commercial,110,41,0.00,0.00,0,87,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=grape-kush-1g-cart,28800000
acai affection bits,Commercial,110,0,2.65,0.04,0,31,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=acai-affection-41433,68
badder live resin,Commercial,110,8,0.00,0.00,0,37,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=kind-tree-concentrate-1g-live-resin-shady-lady-badder,1120000
citrus berry marmalade strain,Commercial,110,2,0.00,0.00,0,11,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=citrus-berry-marmalade-1g-cart,62
dispensary near west orange nj,Commercial,110,17,0.00,0.00,0,1,,https://wowdispensary.com/,86
dispensary on western,Informational,110,63,0.00,0.00,0,20,,https://wowdispensary.com/,22400000
pomegranate pearls,"Commercial, Informational",110,4,0.00,0.26,0,10,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=pomegranate-pearls-4-1-cbd-thc-10pk-100mg,2870000
wana quick strawberry margarita,"Commercial, Informational",110,12,0.00,0.00,0,5,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=quick-strawberry-margarita-1-1-cbd-thc-10pk-100mg,100
wellness orange,Commercial,110,27,5.00,0.07,0,12,,https://wowdispensary.com/,956000000
west orange pharmacy,Commercial,110,18,0.00,0.04,0,94,,https://wowdispensary.com/,130000000
wow wellness center,Navigational,110,38,0.00,0.05,0,59,,https://wowdispensary.com/,32700000
20 south valley road west orange nj 07052,Informational,90,16,0.00,0.03,0,25,,https://wowdispensary.com/contact/,57
2:1 cbd thc,"Commercial, Informational",90,4,0.00,0.00,0,67,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=exotic-yuzu-2-1-cbd-thc-10pk-100mg,1950000
2g cake carts,Commercial,90,35,0.00,0.00,0,87,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=blueberry-cake-2g-disposable,3670000
dispensary irvington nj,Commercial,90,11,1.51,0.04,0,70,,https://wowdispensary.com/,70
georgia peach dp,"Commercial, Informational",90,19,0.00,0.00,0,58,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=georgia-peach-1g-disposable,4060000
ghost train disposable,"Commercial, Informational",90,0,0.00,0.00,0,6,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=ghost-train-haze-2g-disposable,864000
incredibles strawberry crunch,"Commercial, Informational",90,2,0.00,0.00,0,44,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=strawberry-crunch-bar-10pk-100mg,89
livingston dispensary,Commercial,90,17,0.00,0.00,0,14,,https://wowdispensary.com/,190000
ozone cannabis infused soft chews,Informational,90,3,0.00,0.00,0,16,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=ozone-edibles-soft-chews-10pk-100mg-assorted-berry,73
pure natural vibes west orange,Navigational,90,19,0.00,0.00,0,22,,https://wowdispensary.com/,48
thc jungle juice,"Informational, Transactional",90,1,0.00,0.00,0,10,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=jungle-juice-1pk-50mg,608000
west cape may dispensary,Navigational,90,27,4.69,0.04,0,59,,https://wowdispensary.com/,696000
west orange farms,Commercial,90,14,0.00,0.05,0,25,,https://wowdispensary.com/menu/,95000000
20 south valley road west orange nj,"Commercial, Informational",70,16,0.00,0.06,0,37,,https://wowdispensary.com/contact/,9110000
blackwood wellness dispensary,Navigational,70,20,0.00,0.00,0,39,,https://wowdispensary.com/,82
dispensary essex,Commercial,70,49,0.00,0.00,0,57,,https://wowdispensary.com/,418000
dispensary west,Commercial,70,46,0.00,0.00,0,54,,https://wowdispensary.com/,22400000
farmers market west orange nj,Informational,70,16,0.00,0.00,0,51,,https://wowdispensary.com/,76
flavors wellness - east orange,Informational,70,13,0.00,0.00,0,15,,https://wowdispensary.com/,71
gron pomegranate pearls,"Informational, Transactional",70,7,0.00,0.00,0,5,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=pomegranate-pearls-4-1-cbd-thc-10pk-100mg,95
newark concentrates delivery,Informational,70,52,0.00,0.00,0,81,,https://wowdispensary.com/,515000
orange wellness center,Commercial,70,20,0.00,0.05,0,19,,https://wowdispensary.com/,915000000
space queen airo,"Commercial, Informational",70,0,0.00,0.00,0,35,,https://wowdispensary.com/menu/?dtche%5Bcategory%5D=vaporizers,69100
strawberry lemonade edible,Commercial,70,0,0.00,0.00,0,94,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=strawberry-lemonade-10pk-100mg,3730000
wellness dispensary near me,Transactional,70,60,0.00,0.00,0,50,,https://wowdispensary.com/,12300000
west orange jobs hiring,Commercial,70,11,0.00,0.02,0,28,,https://wowdispensary.com/careers,188000000
wow dispensary,"Commercial, Navigational",70,10,0.00,0.00,0,1,,https://wowdispensary.com/,1300000
50 shades of grape,Informational,50,5,0.00,0.00,0,8,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=50-shades-of-grape-1-1-thc-cbc-10pk-100mg,5570000
airo space queen,"Commercial, Informational",50,0,0.00,0.00,0,77,,https://wowdispensary.com/menu/?dtche%5Bcategory%5D=vaporizers,74600
cheap dispensary new jersey,Commercial,50,56,1.62,0.22,0,34,,https://wowdispensary.com/,4460000
dispensary east orange nj,Commercial,50,1,0.00,0.00,0,3,,https://wowdispensary.com/,91
dispensary near montclair nj,Commercial,50,45,2.09,0.08,0,41,,https://wowdispensary.com/,86
elderberry wellness bits,"Commercial, Informational",50,0,1.72,0.39,0,4,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=elderberry-wellness-bits-1-1-cbd-thc-20pk-100mg,92
garden greens super lemon haze,Informational,50,0,0.00,0.00,0,6,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=super-lemon-haze-3-5g,279000
how much thc is in a cake bar,Informational,50,9,0.00,0.00,0,9,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=red-velvet-piece-ahhh-cake-bar-1-1-cbd-thc-10pk-100mg,2430000
jobs hiring in west orange nj,Commercial,50,10,0.00,0.02,0,24,,https://wowdispensary.com/careers,200000000
jobs hiring west orange nj,Commercial,50,15,0.00,0.02,0,30,,https://wowdispensary.com/careers,53500000
kind tree shady lady,Commercial,50,0,0.00,0.00,0,5,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=kind-tree-concentrate-1g-live-resin-shady-lady-badder,53
newark dispensaries,Commercial,50,30,0.00,0.00,0,44,,https://wowdispensary.com/,91
syringe cream,"Informational, Transactional",50,6,0.00,0.32,0,60,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=rso-klik-syringe-1g-ice-cream-candy,16300000
the west west orange nj,Navigational,50,17,0.61,0.49,0,97,,https://wowdispensary.com/,416000000
wana cannabis logo,Navigational,50,13,0.00,0.00,0,89,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=blueberry-10pk-100mg,421000
wellness dispensary menu,Commercial,50,17,0.00,0.00,0,36,,https://wowdispensary.com/,5880000
west wellness dispensary,Navigational,50,26,0.00,0.00,0,5,,https://wowdispensary.com/,3510000
120 s valley rd west orange nj,"Commercial, Informational",40,3,0.00,0.00,0,21,,https://wowdispensary.com/contact/,61
2:1 cbd,Informational,40,0,0.00,0.00,0,75,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=exotic-yuzu-2-1-cbd-thc-10pk-100mg,9510000
2g ghost,Commercial,40,0,0.00,0.00,0,19,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=ghost-train-haze-2g-disposable,6300000
cake carts 2g,Commercial,40,35,0.00,0.00,0,77,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=blueberry-cake-2g-disposable,3630000
dispensary near garfield nj,Informational,40,6,0.00,0.00,0,78,,https://wowdispensary.com/,100
dispensary orange,Commercial,40,46,0.00,0.00,0,6,,https://wowdispensary.com/,16600000
gron llc,Transactional,40,20,0.00,0.10,0,91,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=pomegranate-pearls-4-1-cbd-thc-10pk-100mg,3340000
jobs west orange nj,Commercial,40,16,0.24,0.09,0,28,,https://wowdispensary.com/careers,175000000
jungle juice edibles,Informational,40,5,2.09,0.04,0,9,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=jungle-juice-1pk-50mg,314000
library west orange nj,Navigational,40,30,0.00,0.00,27,0,https://thelibrarynj.com/,,61
montclair nj dispensary,Commercial,40,28,3.39,0.04,0,35,,https://wowdispensary.com/,82
nano bites indica,"Commercial, Informational",40,0,0.00,0.00,0,8,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=blueberry-nano-bites-10pk-100mg,82
ozone berry assorted gummies,Commercial,40,0,0.00,0.19,0,6,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=ozone-edibles-soft-chews-10pk-100mg-assorted-berry,69
ozone soft chews,"Commercial, Informational",40,0,0.00,0.12,0,4,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=ozone-edibles-soft-chews-10pk-100mg-assorted-berry,60
trader joe's west orange,Informational,40,28,0.00,0.00,0,61,,https://wowdispensary.com/,21500000
wana 5:1 gummies,"Commercial, Informational",40,7,0.00,0.00,0,45,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=pomegranate-blueberry-acai-5-1-cbd-thc-20pk-100mg,63500
well dispensary,Navigational,40,61,0.00,0.00,0,73,,https://wowdispensary.com/,19000000
west orange dispensary,Commercial,40,12,0.00,0.00,0,1,,https://wowdispensary.com/,5690000
west orange library nj,Navigational,40,30,0.00,0.00,24,0,https://thelibrarynj.com/,,64
west orange nj library,Navigational,40,20,0.00,0.00,27,0,https://thelibrarynj.com/,,63
&shine strawberry cheesecake,Informational,30,0,0.00,0.00,0,73,,https://wowdispensary.com/menu/?dtche%5Bcategory%5D=vaporizers,67000
12 high street west orange nj,"Commercial, Informational",30,9,0.00,0.00,0,72,,https://wowdispensary.com/contact/,76
4:1 cbd thc,Informational,30,0,0.00,0.00,0,65,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=pomegranate-pearls-4-1-cbd-thc-10pk-100mg,400000
acai affection,Commercial,30,0,0.00,0.01,0,9,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=acai-affection-41433,83
ahhh cbd,Commercial,30,3,0.00,0.00,0,28,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=red-velvet-piece-ahhh-cake-bar-1-1-cbd-thc-10pk-100mg,93
apples and bananas ghost cart,Informational,30,0,0.00,0.00,0,84,,https://wowdispensary.com/menu/?dtche%5Bcategory%5D=vaporizers,108000
bits elderberry wellness 5mg,"Commercial, Informational",30,0,2.08,0.49,0,5,,https://wowdispensary.com/menu/?dtche%5Bproduct%5D=elderberry-wellness-bits-1-1-cbd-thc-20pk-100mg,71
dispensary fairfield nj,Commercial,30,21,3.19,0.06,0,4,,https://wowdispensary.com/,180000
jobs near west orange nj,Commercial,30,13,0.29,0.08,0,23,,https://wowdispensary.com/careers,173000000
